Epoch,First Derivative Mean Motion,Inclination (degrees),Right Ascension of the Ascending Node (degrees),Argument of Perigee (degrees),Mean Anomaly (degrees),Eccentricity,Mean Motion (revolutions per day),Revolution Number at Epoch
2023-06-27,0.00017230499999999998,51.641016666666665,277.67608333333334,82.68708333333333,237.78578333333334,0.00047125000000000004,15.504711443333333,40338.0
2023-06-28,0.000158335,51.64125,272.73787500000003,85.999025,157.071925,0.0004690875,15.505010434999999,40353.375
2023-06-29,0.00014553399999999998,51.64212,267.39654,89.01953999999999,121.33912000000001,0.00045804,15.505320598,40370.0
2023-06-30,0.00014747,51.64205,260.7552,92.50075,146.28605,0.0004747,15.505719540000001,40390.5
2023-07-01,0.00010595,51.64201666666667,257.72561666666667,93.30945000000001,79.56528333333334,0.00047016666666666664,15.505847015,40400.333333333336
2023-07-02,0.00010744666666666667,51.64195,252.65258333333335,95.90633333333334,150.30018333333334,0.0004669333333333333,15.506024593333334,40416.166666666664
2023-07-03,9.4356e-05,51.64118,247.49258,99.06354,214.69382000000002,0.00046689999999999996,15.506200494000002,40432.4
2023-07-04,0.00048025333333333336,51.64000000000001,242.9417,100.31993333333332,110.33149999999999,0.0004662,15.506507176666666,40446.666666666664
2023-07-05,-0.0004395033333333333,51.63891666666667,237.98476666666667,92.10981666666667,246.62156666666667,3.8316666666666665e-05,15.495387305,40462.0
2023-07-06,0.00010418125,51.6398875,232.9663625,39.620962500000005,105.70519999999999,3.6775e-05,15.4956787,40477.875
2023-07-07,0.00010288,51.640425,227.888725,49.686225,149.03494999999998,2.385e-05,15.4958927275,40493.5
2023-07-08,0.00010584666666666667,51.6402,222.7268333333333,83.44144999999999,174.21161666666663,2.216666666666667e-05,15.496126038333335,40509.833333333336
2023-07-09,0.00010234,51.6404,217.98402857142855,86.81202857142857,141.96968571428573,2.2157142857142858e-05,15.496326215714285,40524.71428571428
2023-07-10,9.356142857142857e-05,51.64077142857143,213.0688714285714,96.69974285714285,220.95125714285714,2.0842857142857144e-05,15.496506537142858,40540.0
2023-07-11,0.00010449714285714286,51.64095714285714,208.12317142857142,67.8672142857143,169.98222857142855,2.0171428571428573e-05,15.496697915714284,40555.57142857143
2023-07-12,8.934333333333334e-05,51.64163333333334,203.31428333333335,68.03178333333334,112.97035000000001,3.171666666666667e-05,15.496858508333332,40570.666666666664
2023-07-13,0.000111595,51.64135,197.15890000000002,63.96755,37.4844,3.29e-05,15.497171640000001,40590.0
2023-07-14,0.00011119833333333334,51.64103333333333,193.33084999999997,73.86355,141.83971666666665,2.6983333333333333e-05,15.497330846666665,40602.0
2023-07-15,0.00010951166666666667,51.640233333333335,188.49941666666666,63.74645,198.73745,3.451666666666667e-05,15.497564169999999,40617.0
2023-07-16,0.00010867857142857143,51.63972857142857,183.57729999999998,74.82654285714285,165.8870142857143,4.051428571428572e-05,15.497802597142856,40632.42857142857
2023-07-17,0.00017383,51.64021666666667,178.69781666666665,66.2535,85.08613333333334,4.576666666666667e-05,15.498106536666667,40647.666666666664
2023-07-18,0.00014228,51.64038333333334,173.39721666666665,78.96415,168.47388333333333,3.518333333333333e-05,15.498381046666667,40664.333333333336
2023-07-19,0.00020707875,51.6401,168.17395,54.3342125,142.5008875,6.01375e-05,15.498728595,40680.75
2023-07-20,0.000115485,51.640475,163.739075,70.53649999999999,173.94662499999998,4.4449999999999996e-05,15.4988687525,40694.75
